feature_id,S039,S022,S044,S043,S020,S041,S010,S047,S003,S048,S055,S006,S053,S023,S059,S009,S060,S027,S052,S015,S042,S040,S031,S032,S024,S036,S016,S001,S030,S051,S012,S007,S004,S037,S050,S058,S057,S021,S038,S011,S002,S054,S035,S005,S045,S049,S033,S029,S046,S025,S019,S008,S034,S013,S014,S056,S018,S028,S017,S026
M001,490.28637184923656,7165.688041305631,545.5052987645627,447.6372859595521,4348.183202676474,432.6249668257856,517.0647875780724,5000.151602503698,,5443.299294880292,6534.7215015988495,349.8793791193569,5155.327553818363,5150.090029955531,4971.163402803404,542.9684333324171,4468.438918001972,5472.6059014849725,3818.907854064072,414.7958717132799,394.3603544363351,588.6825304854488,487.9110211558382,498.9713669225479,5440.069405455329,381.5598923416427,6618.481486081992,415.86498208394875,6363.685298993,5282.593189432809,615.6150549170139,393.73966725173034,388.44830578711753,368.52733558352617,4860.547345306924,5071.385685379421,3786.0501719430627,5913.065502597156,725.9303786503657,489.4341427078035,430.6829166415502,4620.2560976668365,355.5325009579531,477.43639043335946,494.54884280602727,5669.138929725391,423.11212009653843,4483.629920830939,4774.338851657675,5244.698082696308,7436.1469629763105,518.9694845138273,389.00044220235975,367.3406763675447,384.039778985995,4945.144504364468,6385.036148297386,5418.8457787380075,4875.709526930078,
M002,665.2812494270896,,457.50202105435415,556.251901661101,5233.424055817211,503.4043928800133,361.85408792900233,4823.13145726726,426.507222941924,6050.300277297382,5293.102527835959,403.8999403348532,6738.942078705086,5657.13415350222,5382.067231531206,448.6064061438285,5669.481586988259,6085.133605124597,5857.795794601621,327.14944516742935,360.98741030819934,551.5357956367371,482.5631224828399,295.6898493705512,4386.205455420096,430.0545482916724,6543.84363784837,542.9291397303743,5858.767234767461,6478.6562892213415,563.0552213075093,501.5808723139409,284.5077029444642,380.7365777711546,6716.673360759146,4783.320924943177,6718.280843394666,5901.86349924335,498.03498562616113,470.93775727044505,348.12325064014095,5373.031820613432,378.02187527232417,379.67378125962944,430.1880127610377,8062.293709023894,364.6429860453269,4735.109180155609,5920.717437783667,6410.703694240644,7749.385118936326,373.9825920998521,407.6004515916953,386.984451887488,426.31875396813115,5118.901311658178,7696.480671053737,6102.3019564987235,4337.179765165445,6776.894198781333
M003,401.9696746696622,4484.074312350811,475.8505425870107,432.8815607652801,4025.3004013287214,311.10220546774855,366.68840200198343,3283.1926929385127,372.2119335142921,5888.64997003029,3822.672383272706,245.63661085790187,5038.733405108151,4244.659371642911,4308.564106354295,355.76885664626644,4994.289410302963,2691.430336043131,3855.154809772813,331.0529578676618,391.3246867712718,337.6634610248215,331.6565062612436,449.99399490160744,3595.15585448898,379.6525616936472,5019.258372918614,335.30270492042797,4600.594425335043,3306.628675144982,358.491310791866,328.3530362625802,,316.31006762038015,,4801.705747374867,4583.1532761486405,5252.540694628522,330.8339276209483,355.3413792416554,342.99846650861076,3249.223648700182,290.82068126034756,,268.39643023709897,6461.928309822817,256.11506893232144,4201.076959537163,5453.786835856054,3591.044359378394,7165.52222157572,366.82830277635287,351.7904710494582,384.16057620787103,310.79330616696456,4066.338731296978,5345.064772987896,4617.100160973208,4083.9128882070986,3845.41759308659
M004,1021.5338461150889,7579.310625161043,737.1132690249158,680.2842389540791,6955.673610777174,798.1026144201866,703.1891379225214,9991.179852857236,900.5956501155255,10313.813772894739,8258.396819520818,513.5388623871031,9347.964473588283,9191.455974409102,8639.531937763035,689.9661637021438,8094.440735680036,8845.705275468386,13079.474657340554,638.5562749914144,767.1463311892812,862.8998543863373,670.1337805758246,776.2769089703285,8128.413381718922,1031.4628638027023,,696.07309592706,8418.383105811014,9119.551646380613,839.0916883516696,867.6344473047945,563.0367698386759,546.904961073226,9226.336859508314,9354.5540320186,8693.282950881632,10133.855301747684,1013.4055480840757,720.4589113354223,715.8294667916656,10875.208016873405,633.1704618339506,613.3633147924957,525.8953193002293,12787.961188516214,421.4714374157243,8614.734494761145,10097.927183613227,9451.130663640402,9879.460761026909,779.5665617866457,708.0528037898561,562.360456519168,587.453108813086,9362.249136850503,8654.938499320682,9950.145550805406,6591.103629581023,10980.144446624337
M005,597.1457817106522,,513.5203474469172,1035.6678495474948,5474.864355096969,584.070369862379,729.1660492468563,,759.6935230249222,10135.809890370903,6489.356236547375,555.8807816498719,8603.861333425753,6346.378398268336,6342.114264043161,736.3735296679289,5637.142148251955,6551.956713997397,,462.91704556861276,585.3524693655224,709.9628480444358,668.8780952436801,640.449425705322,6277.744891219731,587.6336298777964,,490.8305099919915,7066.3820518694565,6184.630258527397,,657.0079308373596,499.103387120198,465.40485912160455,8995.223811441769,7010.8770596608665,6780.982953292525,5966.934603684112,756.0557697676867,694.3879479936458,702.8925575859712,5932.202641005808,586.6035667433126,,573.3266652061108,8083.119572531105,481.86135056943306,5569.62546968643,7604.927419707763,5944.3101308827845,6172.045809152436,636.3011997188748,593.9437241891866,565.923501794159,656.1917180318766,6334.404396645735,6997.347085421856,7046.620180265076,6923.640055953468,8176.813789090998
M006,411.2815665421076,8443.677497468807,401.15396133185965,523.20284144629,6313.708366304513,,,7007.193068550446,297.0627642545353,5511.58612330057,7189.673908668143,209.94631674530964,7465.393748943948,5173.795251307505,6186.251077568606,333.9063444606035,5096.573994065731,5566.247254928988,8518.01849349465,323.76403894710853,330.92561307960256,417.18711783117,489.89025248216063,349.99271920867494,5228.896147689172,460.05015140868613,7872.047647398797,358.4004826494508,,5279.4586130121015,412.7084860141743,453.77654655054306,272.6872020110628,301.630383973134,6008.104509172006,7087.562327122775,6174.098280709969,,602.3144505653445,464.15377665335535,365.2569021381939,6452.8736680524935,262.96712738888397,371.00763892435606,407.19612991482535,9234.099459849815,283.75824522069865,6196.8969152560785,6061.34858099823,5833.663817930548,8075.849469850779,331.3918999518263,328.6433622403445,,371.3100872267333,7011.207568633461,7239.159983966971,5043.2800846054415,5753.565619718027,
M007,726.496903550375,5334.812899319256,530.6288052086036,576.4333249675457,4747.530022004939,656.6384478243193,587.6316638425433,4663.400796042345,468.54546746484147,5550.1503044009305,5544.755981896752,353.5562986291727,4250.633686611738,,4567.937738583446,525.1521424042897,4483.565000310818,4882.3086495881425,3785.004033234851,473.75400133436875,426.52055043709896,633.590495334516,425.05758128551497,529.0237536215714,4066.8433163910418,,4199.7723942815255,464.3514022955932,4455.372953259845,,635.5059558841323,473.66468393533785,423.39188653773977,433.5327388409968,,5302.980843702625,4915.210764303104,5762.179078261121,676.6401093376018,499.99613456582654,516.9128648890377,4113.27052384067,427.0897864724678,433.2972084863323,506.0447094751244,6698.908032325953,355.2683205612322,4461.428889802624,4720.2327979681195,4567.972465147208,5952.766236390241,566.6505303168683,460.5725468707957,,364.1652448768874,5502.437643178039,5142.801912732864,,4746.329969094359,4357.877884982149
M008,1131.226650786371,9882.140567407094,604.059625386821,803.5543350049542,6398.424566513893,955.3543774018477,735.3283714877826,7350.906495200352,729.366512333343,8352.107826827832,8025.960730298561,684.0875778937842,6297.859447802128,7910.893203491219,6012.497138756534,,7499.241691903318,8450.746449862596,5892.523693346397,613.9083887509664,635.6611684682649,1149.217355785716,841.1678144011325,807.0215590845926,7307.560166933576,1130.2512327894535,5832.3360465590695,650.6638480443328,7759.07835653118,8663.575744005077,927.5335145010723,985.6642478004269,590.096111047816,687.9373173206047,12375.383043936206,7459.217380949593,5986.136678575577,8553.663666687753,992.2453483214174,901.9721244768581,659.128503973824,9743.207092037397,633.6596131449302,638.8652118859032,709.9479950924734,8796.184332251336,541.1448631559958,7285.645241367003,7344.854981092236,9558.016423609952,,708.1250842858468,670.6383056726311,834.4852988997544,888.1492838738246,5520.801899489201,9587.300757656043,4995.097462717701,6428.280803760203,8887.023102460367
M009,509.65930719321267,6144.179065203172,480.4860425545319,534.797190657037,4222.988646753537,622.7614277523418,557.1779827554167,,622.458516887557,4551.653730520239,5188.795123386386,420.84279191285566,5339.716515167253,4107.913615121919,5870.549271386187,484.01512006565883,4182.982840011374,3871.747082457209,3632.0430025611554,451.49308560587815,497.6203816840623,632.0711473772178,564.5343689308377,548.5223565473268,3974.070007055157,709.517640140042,4993.514621187766,566.744189503315,3822.7426561034454,5328.652022703234,565.2295636305549,461.6488411190594,301.2621885145856,575.6868004070592,5684.189009327036,5087.892891146804,2888.5016451087645,4977.878150703932,441.39871534773016,701.6504665003696,550.9427645231694,4499.28036631013,343.3750053409977,474.28888212225064,412.0977795008851,6093.4397114763315,522.2134226423743,3801.773123507653,4651.987322448157,3892.9305926732995,5352.859373025857,540.4021117777405,370.60159747451405,414.33430415787024,,4044.8818415509413,5801.646569437909,4982.204567422743,3480.928014052262,3886.5282235228574
M010,948.8820516312925,,593.61341780793,774.4951032105552,,753.5236221959968,674.5692614530064,9474.318650405818,883.0821807867769,12480.349932357942,9769.566060397012,475.51240187459143,13338.191151859966,12269.675848998202,9432.834456759541,695.1092441898229,8152.784974224181,,7994.813954101736,544.8984305139812,647.4594279856466,953.6204318334264,645.510233838074,911.6968964445518,8595.909139033947,820.3568641563432,8623.219016638976,697.5890941031063,,9443.22187721709,709.1736428281476,987.5374803381255,636.8891904660253,388.8700928854078,14442.405416130638,11572.717185623851,9005.080603027622,,996.8641298871091,578.2085158915125,933.1801033052037,9771.524397223986,559.8026807261018,643.1750514426793,603.2452479873659,11803.866422049714,813.5495356446539,10460.40321961139,10687.669212637877,8186.918087112374,11069.662628064172,766.7340559869918,736.4561436489388,826.2735174911465,780.0071366027917,7224.499235542115,12675.002966027128,7101.83822757732,7533.08127483956,11829.440201204654
